75,Brasov_RNMCA,O3,0.0,-1,45.718143,25.62414,Background
76,Buzau_RNMCA,SO2,0.0,3.0,45.153606,26.819145,Background
77,Buzau_RNMCA,PM10,39.97,50.0,45.153606,26.819145,Background
78,Buzau_RNMCA,O3,0.0,0.0,45.153606,26.819145,Background
79,Buzau_RNMCA,O3,0.0,-1,45.153606,26.819145,Background
80,Caras_RNMCA,PM10,11.78,-1,45.299332,21.872139,Industrial
81,Caras_RNMCA,NO2,0.0,18.0,45.299332,21.872139,Industrial
82,Caras_RNMCA,NO2,0.0,-1,45.299332,21.872139,Industrial
83,Caras_RNMCA,NO2,8.86,-1,45.299332,21.872139,Industrial
84,Constanta_RNMCA,PM10,46.7,50.0,44.177952,28.636391,Traffic
85,Constanta_RNMCA,SO2,0.0,-1,44.312351,28.623131,Background
86,Constanta_RNMCA,PM10,5.0,50.0,44.312351,28.623131,Background
87,Constanta_RNMCA,O3,0.0,-1,44.312351,28.623131,Background
88,Constanta_RNMCA,PM10,21.49,40.0,43.815163,28.582516,Traffic
89,Constanta_RNMCA,NO2,13.46,-1,43.815163,28.582516,Traffic
90,Constanta_RNMCA,PM10,25.21,-1,44.14941,28.623802,Industrial
91,Constanta_RNMCA,NO2,0.0,18.0,44.14941,28.623802,Industrial
92,Constanta_RNMCA,NO2,0.0,-1,44.14941,28.623802,Industrial
93,Constanta_RNMCA,PM10,45.79,50.0,44.248325,28.26123,Industrial
94,Constanta_RNMCA,O3,0.0,0.0,44.248325,28.26123,Industrial
95,Constanta_RNMCA,O3,0.0,-1,44.248325,28.26123,Industrial
96,Covasna_RNMCA,SO2,0.0,-1,45.875118,25.804455,Background
97,Galati_RNMCA,PM10,17.67,40.0,45.41881,28.01785,Traffic
98,Galati_RNMCA,CO,0.0,0.0,45.431538,28.054741,Background
99,Galati_RNMCA,PM2.5,7.61,-1,45.431538,28.054741,Background
100,Galati_RNMCA,SO2,4.66,20.0,45.47295,28.03394,Background
101,Galati_RNMCA,O3,0.0,-1,45.47295,28.03394,Background
102,Galati_RNMCA,O3,0.0,-1,45.47295,28.03394,Background
103,Galati_RNMCA,SO2,0.0,3.0,45.41119,28.00639,Industrial
104,Galati_RNMCA,SO2,0.0,24.0,45.41119,28.00639,Industrial
105,Gorj_RNMCA,SO2,24.02,20.0,44.899094,23.171091,Industrial
106,Gorj_RNMCA,PM10,33.82,-1,44.899094,23.171091,Industrial
107,Gorj_RNMCA,O3,0.0,-1,44.899094,23.171091,Industrial
108,Gorj_RNMCA,O3,0.0,-1,44.899094,23.171091,Industrial
109,Gorj_RNMCA,NO2,0.0,18.0,44.899094,23.171091,Industrial
110,Gorj_RNMCA,NO2,0.0,-1,44.899094,23.171091,Industrial
111,Harghita_RNMCA,SO2,0.0,3.0,46.326618,25.811356,Background
112,Harghita_RNMCA,PM10,38.34,50.0,46.326618,25.811356,Background
113,Hunedoara_RNMCA,SO2,0.0,-1,45.871384,22.908752,Industrial
114,Hunedoara_RNMCA,PM10,6.0,50.0,45.871384,22.908752,Industrial
115,Hunedoara_RNMCA,PM10,27.25,50.0,45.871384,22.908752,Industrial
116,Hunedoara_RNMCA,O3,3.0,-1,45.871384,22.908752,Industrial
117,Hunedoara_RNMCA,NO2,9.32,60.0,45.871384,22.908752,Industrial
118,Hunedoara_RNMCA,SO2,0.0,-1,45.895504,22.899347,Industrial
